名称,代码,最新价,涨跌额(涨跌幅),成交量,成交额,总市值,换手率,量比
东宝生物,300239,,,,,,,
陕西黑猫,601015,4.07,0.02(0.74%),5093.90万,2.07亿,83.13亿,2.49%,--
中恒电气,002364,33.31,1.69(5.34%),7830.09万,26.31亿,187.72亿,14.03%,194.00
菲利华,300395,94.68,-0.95(-0.99%),2211.26万,20.86亿,494.48亿,4.32%,111.13
中国中铁,601390,5.57,-0.01(-0.18%),7268.36万,4.05亿,1375.03亿,0.35%,5.90
御银股份,002177,9.73,0.37(3.95%),2.06亿,19.68亿,74.06亿,30.55%,475.13
东方财富,300059,24.90,0.77(3.19%),5.11亿,125.68亿,3935.21亿,3.82%,32.44
吉祥航空,603885,15.32,0.26(1.73%),1102.98万,1.70亿,334.59亿,0.51%,23.04
全聚德,002186,12.06,0.19(1.60%),702.40万,8441.88万,37.01亿,2.29%,106.06
鲁抗医药,600789,9.34,-0.04(-0.43%),2220.14万,2.07亿,97.62亿,2.47%,51.85
翰宇药业,300199,20.05,0.26(1.31%),3520.18万,7.02亿,177.09亿,4.72%,186.15
凯龙股份,002783,9.81,-0.05(-0.51%),1294.85万,1.27亿,48.99亿,2.84%,27.20
恒光股份,301118,25.85,0.09(0.35%),337.52万,8655.21万,28.49亿,3.21%,--
国泰集团,603977,15.54,0.42(2.78%),2710.02万,4.17亿,96.54亿,4.36%,38.11
恒瑞医药,600276,63.82,0.04(0.06%),3180.07万,20.28亿,4235.86亿,0.50%,55.24
喜临门,603008,20.70,0.39(1.92%),1449.23万,2.95亿,76.24亿,3.94%,14.32
中青旅,600138,10.10,0.12(1.20%),2979.83万,2.99亿,73.11亿,4.12%,45.38
探路者,300005,12.68,0.86(7.28%),4460.14万,5.49亿,112.05亿,5.05%,254.38
中体产业,600158,9.08,0.18(2.02%),2776.78万,2.50亿,87.12亿,2.89%,--
步步高,002251,5.64,0.08(1.44%),1.54亿,8.61亿,151.64亿,7.14%,50.43
佛塑科技,000973,13.71,-0.24(-1.72%),4199.70万,5.80亿,132.63亿,4.34%,118.54
湘电股份,600416,17.48,0.55(3.25%),6534.14万,11.17亿,257.97亿,4.93%,96.46
申菱环境,301018,69.16,-1.03(-1.47%),1067.51万,7.39亿,184.00亿,5.36%,91.95
实丰文化,002862,21.70,1.22(5.96%),1273.17万,2.73亿,36.46亿,10.09%,--
春秋电子,603890,16.18,-0.17(-1.04%),3400.02万,5.49亿,73.77亿,7.46%,23.95
中文在线,300364,34.98,5.83(20.00%),1.40亿,45.49亿,254.83亿,21.26%,--
华银电力,600744,6.28,0.13(2.11%),4031.06万,2.51亿,127.55亿,1.99%,26.82
爱慕股份,603511,16.72,0.39(2.39%),269.71万,4461.02万,67.56亿,0.67%,50.08
